Name,URL,Tags
404. 左叶子之和,https://leetcode.cn/problems/sum-of-left-leaves/description/,二叉树
257. 二叉树的所有路径,https://leetcode.cn/problems/binary-tree-paths/description/,二叉树
110. 平衡二叉树,https://leetcode.cn/problems/balanced-binary-tree/description/,二叉树
222. 完全二叉树的节点个数,https://leetcode.cn/problems/count-complete-tree-nodes/description/,二叉树
111. 二叉树的最小深度,https://leetcode.cn/problems/minimum-depth-of-binary-tree/description/,二叉树
104. 二叉树的最大深度,https://leetcode.cn/problems/maximum-depth-of-binary-tree/description/,二叉树
101. 对称二叉树,https://leetcode.cn/problems/symmetric-tree/description/,二叉树
226. 翻转二叉树,https://leetcode.cn/problems/invert-binary-tree/description/,二叉树
102. 二叉树的层序遍历,https://leetcode.cn/problems/binary-tree-level-order-traversal/description/,二叉树
144. 二叉树的遍历,https://leetcode.cn/problems/binary-tree-preorder-traversal/description/,二叉树
解数独,https://leetcode.cn/problems/sudoku-solver/,回溯
n皇后,https://leetcode.cn/problems/n-queens/description/,回溯
332. 重新安排行程,https://leetcode.cn/problems/reconstruct-itinerary/description/,回溯
47. 全排列 II,https://leetcode.cn/problems/permutations-ii/description/,回溯
46. 全排列,https://leetcode.cn/problems/permutations/description/,回溯
491.递增子序列,https://leetcode.cn/problems/non-decreasing-subsequences/submissions/643577308/,回溯
90. 子集 II,https://leetcode.cn/problems/subsets-ii/description/,回溯
78. 子集,https://leetcode.cn/problems/subsets/description/,回溯
93. 复原 IP 地址,https://leetcode.cn/problems/restore-ip-addresses/description/,回溯
131. 分割回文串,https://leetcode.cn/problems/palindrome-partitioning/description/,回溯
40. 组合总和 II,https://leetcode.cn/problems/combination-sum-ii/description/,回溯
39. 组合总和,https://leetcode.cn/problems/combination-sum/description/,回溯
17. 电话号码的字母组合,https://leetcode.cn/problems/letter-combinations-of-a-phone-number/description/,回溯
216. 组合总和 III,https://leetcode.cn/problems/combination-sum-iii/description/,回溯
77. 组合,https://leetcode.cn/problems/combinations/description/,回溯
什么是回溯法？,https://www.bilibili.com/video/BV1cy4y167mM/?vd_source=4f8939477fe394bdd537ca2889fd041f,回溯
968. 监控二叉树,https://leetcode.cn/problems/binary-tree-cameras/description/,贪心
738. 单调递增的数字,https://leetcode.cn/problems/monotone-increasing-digits/description/,贪心
56. 合并区间,https://leetcode.cn/problems/merge-intervals/,贪心
763. 划分字母区间,https://leetcode.cn/problems/partition-labels/description/,贪心
435. 无重叠区间,https://leetcode.cn/problems/non-overlapping-intervals/description/,贪心
452. 用最少数量的箭引爆气球,https://leetcode.cn/problems/minimum-number-of-arrows-to-burst-balloons/description/,贪心
406. 根据身高重建队列,https://leetcode.cn/problems/queue-reconstruction-by-height/description/,贪心
860. 柠檬水找零,https://leetcode.cn/problems/lemonade-change/submissions/644577343/,贪心
135. 分发糖果,https://leetcode.cn/problems/candy/description/,贪心
134. 加油站,https://leetcode.cn/problems/gas-station/description/,贪心
1005. K 次取反后最大化的数组和,https://leetcode.cn/problems/maximize-sum-of-array-after-k-negations/description/,贪心
